id,date,blood_service,text_char,retweet,followers,friends,tweet
123,27/9/19,GiveBloodNHS,140,1,55,322,"feel a little proud this morning... thank you @givebloodnhs, looking forward to the next milestone 💉🆎 "
124,27/9/19,givebloodscot,82,2,1028,1036,donor-selfie time @givebloodscot #giveblood 
125,27/9/19,GiveBloodNHS,119,1,2382,915,"hooked up, giving platelets, drinking tea and doing my emails ⁦@givebloodnhs⁩ "
126,27/9/19,GiveBloodNHS,139,0,7043,1968,i love the fact that - as an o negative blood group donor - @givebloodnhs name me a “first responder” 
127,27/9/19,GiveBloodNHS,139,3,472,176,"i just donated my 23rd pint of my red stuff, helping @givebloodnhs help those in need. thank you @sageuk @sagefoundation for giving me time out of work to #makeadifference #giveblood ❤❤ "
128,27/9/19,WelshBlood,140,1,877,697,proud to get confirmation of my entry to the @welshblood 50 club ❤️💉 #anegative #everydropcounts #giveitaway #loveaclubbiscuit 
129,26/9/19,WelshBlood,140,3,298,724,"booked in for pint no.2. yesterday and just received my shiny donor card in the post this afternoon💌💪🏾

see you soon @welshblood !
🅱️➕ 

#sicklecellawarenessmonth #bloodcancerawarenessmonth "
130,26/9/19,GiveBloodNHS,137,2,877,704,"28th @givebloodnhs donation today, another 🅾️➖ neonatal pint of me successfully poured! #giveblood "
131,26/9/19,GiveBloodNHS,91,0,2640,2399,"you’re very welcome, @givebloodnhs! hope it helps. 💉 "
132,26/9/19,GiveBloodNHS,140,1,1607,1519,"my 11th donation tonight. it took 7 minutes out of my day for me to donate. if you can, do it. it’s so important @givebloodnhs 💉 "
133,26/9/19,GiveBloodNHS,140,2,39,268,"@givebloodnhs first ever donation issued 😄 many more to come, love that youre notified, within just 20 days of my donation it’s already in action. speechless. ☺️ wish more people got involved x "
134,26/9/19,GiveBloodNHS,139,1,131,182,"sometimes when i rip off the plaster after giving blood, i see myself as rambo, alone in the jungle, performing surgery on his own arm. nothing wrong with that right? #sobrave. @givebloodnhs "
135,26/9/19,GiveBloodNHS,140,1,201,274,tonight i donated for the 30th time and found out that my blood can be used on premature babies. seeing that blue neo sticker get applied to my donation made me so proud❣️#savealife #giveblood @givebloodnhs #blooddonation #blooddonor #proud 
136,26/9/19,GiveBloodNHS,123,1,73,237,love receiving texts like this! my donations travel more than i do!! @givebloodnhs 
137,26/9/19,GiveBloodNHS,57,1,7041,1966,"pint #28
#giveblood "
138,26/9/19,GiveBloodNHS,139,4,157,906,here’s my pint of the good stuff. really recommend friends and contacts to take the time to #donateblood @nhsbt. it only took 20 mins &amp; i’ll receive a text in a few weeks telling me which hospital got my blood #donatesaveslives #eighthvisit @givebloodnhs #takethetime #giveblood 
139,26/9/19,GiveBloodNHS,126,0,7690,7561,"thanks for the tea and biscuit.

pleasure doing business with you. 😀👍

@givebloodnhs "
140,26/9/19,GiveBloodNHS,113,0,101,420,"free time at uni= blood donation time!
donation number 6 ✅ @givebloodnhs "
141,26/9/19,WelshBlood,140,0,177,484,number 38 on it's way to @welshblood from #aberystwyth. donation centre here until friday at morlan centre. 
142,26/9/19,GiveBloodNHS,140,1,961,4442,dropping off some more claret @givebloodnhs to the nhs vamps. also go for the snacks. #giveblood #eatbiscuits 💉🍪 
143,26/9/19,GiveBloodNHS,74,0,600,663,my favourite texts 😍 @givebloodnhs 
144,26/9/19,GiveBloodNHS,88,1,971,2325,"do something amazing, give blood 
@givebloodnhs "
145,26/9/19,givebloodscot,140,6,644,489,"gr8 video made by a wee bairn as he received his blood transfusion. “the donor jokes they only came for the banter, tea, &amp; yummy biscuits...but today i’m here to help an 11 year old boy” #donatelife #blooddonation best wishes aaron from oz! @givebloodscot "
146,25/9/19,GiveBloodNHS,144,0,15549,1451,"something that is so important to me is to give blood, &amp; finally after over 2 years not being able to, i made my 18th blood donation today! @givebloodnhs 

extra important as i’m o-  as it’s the universal donor. if you’re interested i’m happy to answer any questions! "
147,25/9/19,GiveBloodNHS,140,1,985,507,"donation number 10 of my finely poured o- clarat in the bank. @givebloodnhs superb staff yet again, tended to by fellow baggies fan, nurse sally. see you again soon guys 💉❤️ "
148,25/9/19,GiveBloodNHS,143,0,215,317,"got my letter from nhs blood &amp; transplant today, seems that i'm part of a small group who can give platelets. i'm a bit nervous, as i don't like needles (does anyone really?) but let's see if i can get a appointment made @givebloodnhs #blooddonation #givebloodnhs #giveblood"
149,25/9/19,GiveBloodNHS,106,4,6019,2945,25th blood donation today and they gave me a card 😃 #giveblood 
150,25/9/19,GiveBloodNHS,140,1,1313,3426,"gave blood today 25/09/19
3️⃣0️⃣ donations
🅾️⛔️
#savealife
#giveblood
@givebloodnhs 
#orangeclub 
"
151,25/9/19,GiveBloodNHS,139,1,32,52,"it’s the first time i’ve been allowed a hot drink after donation, so i’m enjoying it sat outside.  so lucky to live in such a beautiful place (even if the clouds are looking a bit moody!) i’m actually classing this as a bit of me time 🤣 #giveblood #nhs #blooddonation #childfree "
152,25/9/19,GiveBloodNHS,140,1,156,920,oooh i do get around...well my blood does anyway. 250 miles away from where i donated! 🅰️➕ @givebloodnhs 
153,25/9/19,GiveBloodNHS,139,0,392,771,@givebloodnhs - looks like my next donation may be the start to my platelet donations also 🅱️➕ 
154,25/9/19,GiveBloodNHS,143,6,164,1546,"#blood #donation number 5 down &amp; all in under an hour @nhsbt @givebloodnhs!

always in memory of the special someone we lost too young 💔

#savealife #savethreelives #giveblood #everylittlehelps #sicklecell #sicklecellawareness #morebamedonorsneeded "
155,25/9/19,GiveBloodNHS,86,0,2100,1097,my favourite texts💉💉 #giveblood @givebloodnhs 
156,25/9/19,GiveBloodNHS,93,0,270,749,i will never tire of these text messages! @givebloodnhs 
157,25/9/19,GiveBloodNHS,144,0,296,1019,"a special day for me, but there’s nothing special about me. i just started when i was 18 &amp; have been lucky enough to have had no health issues that kept me from donating and so just kept going. many thanks to all the staff at barrack rd, ncl. every donation counts. @givebloodnhs "
158,25/9/19,GiveBloodNHS,112,4,140,458,"such a simple but important donation.
#savelives #giveblood @givebloodnhs "
159,25/9/19,GiveBloodNHS,140,3,2149,322,"in the chair now (it's like a little roller coaster) making my 82nd donation now.
please consider giving blood and saving lives, book an appointment at 23
the next session local to #knutsford is on 8th october
@givebloodnhs "
160,25/9/19,GiveBloodNHS,139,0,320,1144,@givebloodnhs nearly 2 weeks ago i gave blood. still can’t believe i did it! can’t wait for the moment to get the text to say i’ve helped someone out! 
161,25/9/19,GiveBloodNHS,140,0,705,879,"what a lovely text message from @givebloodnhs if you can donate please do. if you're nervous then let the staff know, they'll stay with you for your first donation. #giveblood #savealife "
162,24/9/19,GiveBloodNHS,85,0,309,763,love getting texts like this @givebloodnhs 💉💉💉 
163,24/9/19,GiveBloodNHS,140,2,272,712,@schofe @thismorning @givebloodnhs after last weeks bit on blood cancer and donation i plucked up the courage. i decided to donate. it was really easy and the staff where great! 
164,24/9/19,GiveBloodNHS,144,1,336,548,love receiving these &amp; particularly nice during #bloodcancerawarenessmonth @givebloodnhs @nhsbt 
165,24/9/19,givebloodscot,140,4,42,158,"social media in action, saw this this morning and dropped into nelson mandela sq in case there was an available appointment, 35 mins later free tea cake for a pint of my best a+ 🙂 "
166,24/9/19,GiveBloodNHS,140,3,148,158,"done my bit . just gave blood again . help save a life please, become a blood  donor too xx @givebloodnhs for the sake of a few minutes of your time . you could give someone , ..time to live x "
167,24/9/19,GiveBloodNHS,137,2,156,18,"just finished @givebloodnhs and i'm currently considering my options, help me please 😭 #giveblood "
168,24/9/19,GiveBloodNHS,140,1,469,211,"some people need a pint of your blood more than you do. why not give some?

plus you get a comfy chair and free biscuits/tyrrells poshcorn.

#giveblood 
"
169,24/9/19,GiveBloodNHS,120,2,102,184,i was born at 30 weeks and needed blood. it really does #savelives #giveblood 
170,24/9/19,GiveBloodNHS,140,1,344,219,"done and dusted in a lunch hour. easy peasy! fab staff, delicious seabrooks and a club too yum! @givebloodnhs @nhsbfdcraven "
171,24/9/19,GiveBloodNHS,140,2,506,997,i really love the destination texts from @givebloodnhs - my 22nd donation has gone to london. previous pints have gone to southampton and jersey. my blood is better travelled than me! 🅾️💉♥️
172,24/9/19,GiveBloodNHS,140,1,81,1023,"@givebloodnhs donation no.38 ✅ if you would receive it, you should be prepared to donate it, if you possibly can "
173,24/9/19,GiveBloodNHS,140,1,60,399,"@givebloodnhs 80th donation done.
thanks to all the amazing staff at whitehaven golf club.

always better to.give than recieve. "
174,24/9/19,GiveBloodNHS,110,1,1359,745,@givebloodnhs got this lovely card to mark my 100th donation #100 
175,23/9/19,GiveBloodNHS,103,2,66,48,donation number 8 today @givebloodnhs #givingsomethingback 
176,23/9/19,GiveBloodNHS,131,2,1337,665,"another donation done tonight 
❤️💉💪 #giveblood #savelives #blooddonation @givebloodnhs @nhsbt "
177,23/9/19,GiveBloodNHS,115,0,1218,580,excited to do my part and hopefully help save a life! @givebloodnhs #giveblood 
178,23/9/19,GiveBloodNHS,140,1,48,326,"good deed for the day done, and blood donation number 6 very literally in the bag @givebloodnhs 💉😊 #givenbloodnhs "
179,23/9/19,GiveBloodNHS,138,1,219,598,been a long while since i’ve given away some of my a- but back to donating today @givebloodnhs 
